ID|MONSTERTYPENAME|MAXHP|ATTACK|DEFENSE|SPEED|MAXDIFFICULTY
1|Armadillo|15|9|21|5|15
2|Beetle|8|8|11|12|5
3|Crocodile|17|20|17|15|22
4|Donkey|15|22|8|6|16
5|Elephant|25|5|20|4|16
6|Falcon|13|23|9|21|23
7|Giraffe|14|17|12|14|16
8|Hyena|12|24|8|22|23
9|Iguana|9|14|19|13|14
10|Jaguar|17|26|17|21|28
11|Kangaroo|16|28|7|16|24
12|Lemur|11|9|7|21|7
13|Manatee|24|8|16|5|16
14|Nautilus|15|5|22|14|28
15|Ocelot|12|20|8|28|27
16|Poison Dart Frog|8|14|13|16|15
17|Quetzal|13|17|13|17|17
18|Rhinoceros|24|24|27|15|28
19|Shrew|8|6|6|13|4
20|Tarantula|13|14|12|16|16
21|Urchin|14|12|24|1|14
22|Vicuña|14|14|13|13|13
23|Warthog|21|25|19|17|27
24|Xenops|8|7|6|15|6
25|Yak|23|10|21|10|15
26|Zebra|18|16|14|21|18
